X,Y_noisy,Y_hat,MAE,MSE
0.0,5.962158747292618,10.0,1.9839824984560028,7.696744185645042
0.5,19.601966155941042,11.75,1.9839824984560028,7.696744185645042
1.0,13.717262969642572,13.5,1.9839824984560028,7.696744185645042
1.5,16.519763213475404,15.25,1.9839824984560028,7.696744185645042
2.0,15.595096787901237,17.0,1.9839824984560028,7.696744185645042
2.5,19.030820595940884,18.75,1.9839824984560028,7.696744185645042
3.0,21.358640977899586,20.5,1.9839824984560028,7.696744185645042
3.5,22.11825113103049,22.25,1.9839824984560028,7.696744185645042
4.0,21.746045630940166,24.0,1.9839824984560028,7.696744185645042
4.5,23.88814670162171,25.75,1.9839824984560028,7.696744185645042
5.0,28.330949892501426,27.5,1.9839824984560028,7.696744185645042
5.5,31.138628663267117,29.25,1.9839824984560028,7.696744185645042
6.0,36.247874822391445,31.0,1.9839824984560028,7.696744185645042
6.5,33.72368080828019,32.75,1.9839824984560028,7.696744185645042
7.0,31.635401994159142,34.5,1.9839824984560028,7.696744185645042
7.5,38.462923573335566,36.25,1.9839824984560028,7.696744185645042
8.0,37.77385011964448,38.0,1.9839824984560028,7.696744185645042
8.5,40.588191029082644,39.75,1.9839824984560028,7.696744185645042
9.0,41.9030984002929,41.5,1.9839824984560028,7.696744185645042
9.5,47.27479997965912,43.25,1.9839824984560028,7.696744185645042
